movie,production_budget,profit,profit_margin,release_date,runtime_minutes,genres,director
Avatar,506459142.2458597,3708297300.1297116,7.322006832941176,2009-12-18,93.0,Horror,Atsushi Wada
Pirates of the Caribbean: On Stranger Tides,466672138.66870576,995773041.4990287,2.13377435460302,2011-05-20,136.0,Action,Rob Marshall
Pirates of the Caribbean: On Stranger Tides,466672138.66870576,995773041.4990287,2.13377435460302,2011-05-20,136.0,Adventure,Rob Marshall
Pirates of the Caribbean: On Stranger Tides,466672138.66870576,995773041.4990287,2.13377435460302,2011-05-20,136.0,Fantasy,Rob Marshall
Dark Phoenix,350000000.0,-157475300.0,-0.4499294285714286,2019-06-07,113.0,Action,Simon Kinberg
Dark Phoenix,350000000.0,-157475300.0,-0.4499294285714286,2019-06-07,113.0,Adventure,Simon Kinberg
Dark Phoenix,350000000.0,-157475300.0,-0.4499294285714286,2019-06-07,113.0,Sci-Fi,Simon Kinberg
Avengers: Age of Ultron,356599755.2918145,1651857038.6679733,4.63224389292196,2015-05-01,141.0,Action,Joss Whedon
Avengers: Age of Ultron,356599755.2918145,1651857038.6679733,4.63224389292196,2015-05-01,141.0,Adventure,Joss Whedon
Avengers: Age of Ultron,356599755.2918145,1651857038.6679733,4.63224389292196,2015-05-01,141.0,Sci-Fi,Joss Whedon
Star Wars Ep. VIII: The Last Jedi,330626913.34856397,1689538080.3310745,5.110104507886435,2017-12-15,,,
Star Wars Ep. VII: The Force Awakens,330065109.2537666,2895052249.5363836,8.771155049019608,2015-12-18,,,
Avengers: Infinity War,305435929.7032739,2470925441.5491166,8.089832273333334,2018-04-27,149.0,Action,Anthony Russo
Avengers: Infinity War,305435929.7032739,2470925441.5491166,8.089832273333334,2018-04-27,149.0,Action,Joe Russo
Avengers: Infinity War,305435929.7032739,2470925441.5491166,8.089832273333334,2018-04-27,149.0,Adventure,Anthony Russo
Avengers: Infinity War,305435929.7032739,2470925441.5491166,8.089832273333334,2018-04-27,149.0,Adventure,Joe Russo
Avengers: Infinity War,305435929.7032739,2470925441.5491166,8.089832273333334,2018-04-27,149.0,Sci-Fi,Anthony Russo
Avengers: Infinity War,305435929.7032739,2470925441.5491166,8.089832273333334,2018-04-27,149.0,Sci-Fi,Joe Russo
Pirates of the Caribbean: At Worldâs End,369906241.86127263,1199533009.1754203,3.2428028333333336,2007-05-24,,,
Justice League,312896132.5065274,610115651.4528722,1.9498983466666668,2017-11-17,120.0,Action,Zack Snyder
Justice League,312896132.5065274,610115651.4528722,1.9498983466666668,2017-11-17,120.0,Adventure,Zack Snyder
Justice League,312896132.5065274,610115651.4528722,1.9498983466666668,2017-11-17,120.0,Fantasy,Zack Snyder
Spectre,323593244.36643785,841013554.594759,2.59898366,2015-11-06,148.0,Action,Sam Mendes
Spectre,323593244.36643785,841013554.594759,2.59898366,2015-11-06,148.0,Adventure,Sam Mendes
Spectre,323593244.36643785,841013554.594759,2.59898366,2015-11-06,148.0,Thriller,Sam Mendes
The Dark Knight Rises,306217388.0850545,1400335676.7427983,4.573011629090909,2012-07-20,164.0,Action,Christopher Nolan
The Dark Knight Rises,306217388.0850545,1400335676.7427983,4.573011629090909,2012-07-20,164.0,Thriller,Christopher Nolan
Solo: A Star Wars Story,279982935.56133443,337933150.94904965,1.206977669090909,2018-05-25,135.0,Action,Ron Howard
Solo: A Star Wars Story,279982935.56133443,337933150.94904965,1.206977669090909,2018-05-25,135.0,Adventure,Ron Howard
Solo: A Star Wars Story,279982935.56133443,337933150.94904965,1.206977669090909,2018-05-25,135.0,Fantasy,Ron Howard
The Lone Ranger,301796790.82405764,81544647.84964609,0.2701972000000001,2013-07-02,150.0,Action,Gore Verbinski
The Lone Ranger,301796790.82405764,81544647.84964609,0.2701972000000001,2013-07-02,150.0,Adventure,Gore Verbinski
The Lone Ranger,301796790.82405764,81544647.84964609,0.2701972000000001,2013-07-02,150.0,Western,Gore Verbinski
John Carter,306217388.0850545,90013190.27850467,0.29395192363636363,2012-03-09,132.0,Action,Andrew Stanton
John Carter,306217388.0850545,90013190.27850467,0.29395192363636363,2012-03-09,132.0,Adventure,Andrew Stanton
John Carter,306217388.0850545,90013190.27850467,0.29395192363636363,2012-03-09,132.0,Sci-Fi,Andrew Stanton
Tangled,304833712.44084084,618225251.4887552,2.0280737538461544,2010-11-24,100.0,Adventure,Nathan Greno
Tangled,304833712.44084084,618225251.4887552,2.0280737538461544,2010-11-24,100.0,Adventure,Byron Howard
Tangled,304833712.44084084,618225251.4887552,2.0280737538461544,2010-11-24,100.0,Animation,Nathan Greno
Tangled,304833712.44084084,618225251.4887552,2.0280737538461544,2010-11-24,100.0,Animation,Byron Howard
Tangled,304833712.44084084,618225251.4887552,2.0280737538461544,2010-11-24,100.0,Comedy,Nathan Greno
Tangled,304833712.44084084,618225251.4887552,2.0280737538461544,2010-11-24,100.0,Comedy,Byron Howard
Spider-Man 3,318119368.0006945,1200210779.7512372,3.7728315232558143,2007-05-04,,,
Captain America: Civil War,266301607.86977047,1382801736.3311653,5.1926150479999995,2016-05-06,147.0,Action,Anthony Russo
Captain America: Civil War,266301607.86977047,1382801736.3311653,5.1926150479999995,2016-05-06,147.0,Action,Joe Russo
Captain America: Civil War,266301607.86977047,1382801736.3311653,5.1926150479999995,2016-05-06,147.0,Adventure,Anthony Russo
Captain America: Civil War,266301607.86977047,1382801736.3311653,5.1926150479999995,2016-05-06,147.0,Adventure,Joe Russo
Captain America: Civil War,266301607.86977047,1382801736.3311653,5.1926150479999995,2016-05-06,147.0,Sci-Fi,Anthony Russo
Captain America: Civil War,266301607.86977047,1382801736.3311653,5.1926150479999995,2016-05-06,147.0,Sci-Fi,Joe Russo
Batman v Superman: Dawn of Justice,266301607.86977047,1009667074.1148174,3.7914418999999997,2016-03-25,151.0,Action,Zack Snyder
Batman v Superman: Dawn of Justice,266301607.86977047,1009667074.1148174,3.7914418999999997,2016-03-25,151.0,Adventure,Zack Snyder
Batman v Superman: Dawn of Justice,266301607.86977047,1009667074.1148174,3.7914418999999997,2016-03-25,151.0,Fantasy,Zack Snyder
The Hobbit: An Unexpected Journey,278379443.7136859,1191471965.1574168,4.2800285439999985,2012-12-14,169.0,Adventure,Peter Jackson
The Hobbit: An Unexpected Journey,278379443.7136859,1191471965.1574168,4.2800285439999985,2012-12-14,169.0,Family,Peter Jackson
The Hobbit: An Unexpected Journey,278379443.7136859,1191471965.1574168,4.2800285439999985,2012-12-14,169.0,Fantasy,Peter Jackson
Harry Potter and the Half-Blood Prince,297917142.4975645,1176538007.7821774,3.9492121800000004,2009-07-15,,,
The Hobbit: The Desolation of Smaug,274360718.9309615,1063129908.5130304,3.8749348400000008,2013-12-13,161.0,Adventure,Peter Jackson
The Hobbit: The Desolation of Smaug,274360718.9309615,1063129908.5130304,3.8749348400000008,2013-12-13,161.0,Fantasy,Peter Jackson
The Hobbit: The Battle of the Five Armies,269981118.2076237,1026681398.2356422,3.8027896359999995,2014-12-17,144.0,Adventure,Peter Jackson
The Hobbit: The Battle of the Five Armies,269981118.2076237,1026681398.2356422,3.8027896359999995,2014-12-17,144.0,Fantasy,Peter Jackson
The Fate of the Furious,260746777.08877283,1262651699.608453,4.842444128,2017-04-14,136.0,Action,F. Gary Gray
The Fate of the Furious,260746777.08877283,1262651699.608453,4.842444128,2017-04-14,136.0,Crime,F. Gary Gray
The Fate of the Furious,260746777.08877283,1262651699.608453,4.842444128,2017-04-14,136.0,Thriller,F. Gary Gray
Superman Returns,294208452.3809524,433963890.3904019,1.475021831896552,2006-06-28,,,
Pirates of the Caribbean: Dead Men Tell No Tales,239887034.921671,762214992.3447332,3.1773913608695654,2017-05-26,129.0,Action,Joachim Rønning
Pirates of the Caribbean: Dead Men Tell No Tales,239887034.921671,762214992.3447332,3.1773913608695654,2017-05-26,129.0,Action,Espen Sandberg
