,column_names,dtypes,file
0,tconst,object,imdb.title.ratings.csv.bz2
1,averagerating,float64,imdb.title.ratings.csv.bz2
2,numvotes,int64,imdb.title.ratings.csv.bz2
0,nconst,object,imdb.name.basics.csv.bz2
1,primary_name,object,imdb.name.basics.csv.bz2
2,birth_year,float64,imdb.name.basics.csv.bz2
3,death_year,float64,imdb.name.basics.csv.bz2
4,primary_profession,object,imdb.name.basics.csv.bz2
5,known_for_titles,object,imdb.name.basics.csv.bz2
0,id,int64,rt.reviews.tsv.bz2
1,review,object,rt.reviews.tsv.bz2
2,rating,object,rt.reviews.tsv.bz2
3,fresh,object,rt.reviews.tsv.bz2
4,critic,object,rt.reviews.tsv.bz2
5,top_critic,int64,rt.reviews.tsv.bz2
6,publisher,object,rt.reviews.tsv.bz2
7,date,object,rt.reviews.tsv.bz2
0,id,int64,tn.movie_budgets.csv.bz2
1,release_date,object,tn.movie_budgets.csv.bz2
2,movie,object,tn.movie_budgets.csv.bz2
3,production_budget,object,tn.movie_budgets.csv.bz2
4,domestic_gross,object,tn.movie_budgets.csv.bz2
5,worldwide_gross,object,tn.movie_budgets.csv.bz2
0,title,object,bom.movie_gross.csv.bz2
1,studio,object,bom.movie_gross.csv.bz2
2,domestic_gross,float64,bom.movie_gross.csv.bz2
3,foreign_gross,int64,bom.movie_gross.csv.bz2
4,year,int64,bom.movie_gross.csv.bz2
0,id,int64,rt.movie_info.tsv.bz2
1,synopsis,object,rt.movie_info.tsv.bz2
2,rating,object,rt.movie_info.tsv.bz2
3,genre,object,rt.movie_info.tsv.bz2
4,director,object,rt.movie_info.tsv.bz2
5,writer,object,rt.movie_info.tsv.bz2
6,theater_date,object,rt.movie_info.tsv.bz2
7,dvd_date,object,rt.movie_info.tsv.bz2
8,currency,object,rt.movie_info.tsv.bz2
9,box_office,object,rt.movie_info.tsv.bz2
10,runtime,object,rt.movie_info.tsv.bz2
11,studio,object,rt.movie_info.tsv.bz2
0,title_id,object,imdb.title.akas.csv.bz2
1,ordering,int64,imdb.title.akas.csv.bz2
2,title,object,imdb.title.akas.csv.bz2
3,region,object,imdb.title.akas.csv.bz2
4,language,object,imdb.title.akas.csv.bz2
5,types,object,imdb.title.akas.csv.bz2
6,attributes,object,imdb.title.akas.csv.bz2
7,is_original_title,int64,imdb.title.akas.csv.bz2
0,tconst,object,imdb.title.principals.csv.bz2
1,ordering,int64,imdb.title.principals.csv.bz2
2,nconst,object,imdb.title.principals.csv.bz2
3,category,object,imdb.title.principals.csv.bz2
4,job,object,imdb.title.principals.csv.bz2
5,characters,object,imdb.title.principals.csv.bz2
0,tconst,object,imdb.title.crew.csv.bz2
1,directors,object,imdb.title.crew.csv.bz2
2,writers,object,imdb.title.crew.csv.bz2
0,Unnamed: 0,int64,tmdb.movies.csv.bz2
1,genre_ids,object,tmdb.movies.csv.bz2
2,id,int64,tmdb.movies.csv.bz2
3,original_language,object,tmdb.movies.csv.bz2
4,original_title,object,tmdb.movies.csv.bz2
5,popularity,float64,tmdb.movies.csv.bz2
6,release_date,object,tmdb.movies.csv.bz2
7,title,object,tmdb.movies.csv.bz2
8,vote_average,float64,tmdb.movies.csv.bz2
9,vote_count,int64,tmdb.movies.csv.bz2
0,tconst,object,imdb.title.basics.csv.bz2
1,primary_title,object,imdb.title.basics.csv.bz2
2,original_title,object,imdb.title.basics.csv.bz2
3,start_year,int64,imdb.title.basics.csv.bz2
4,runtime_minutes,float64,imdb.title.basics.csv.bz2
5,genres,object,imdb.title.basics.csv.bz2
